CellID,20180820204632_NoCellID
Date,2018-08-20 20:47:35
CH,01
JUDGE,OK

Mode,Item,count,x,y,L,x_Spec,y_Spec,L_Spec,regR,regG,regB,VBAT1-V,VBAT1(mA)-I,ELVSS-V,ELVSS(mA)-I,VDD1-V,VDD1(mA)-I,VCI-V,VCI(mA)-I,VBAT2-V,VBAT2(mA)-I,VDD2-V,VDD2(mA)-I,ALL-POWER,TuningCount,TuingTime,OK/NG
HBM,255gray,0,0.303,0.330,199.400,0.302-0.303,0.329-0.330,199.400-200.600,2976,2487,3714,5.014,286.3,3.502,284.7,1.808,157.0,3.015,0.4,0.000,0.0,7.811,52.7,3.129,12,5.966,OK
HBM,200gray,1,0.301,0.330,117.000,0.301-0.304,0.328-0.331,116.612-117.784,2548,2157,3018,5.014,178.9,3.503,177.6,1.808,156.1,3.015,0.4,0.000,0.0,7.810,48.6,2.182,4,2.382,OK
HBM,128gray,2,0.301,0.328,44.010,0.301-0.304,0.328-0.331,43.691-44.130,2025,1716,2386,5.015,71.9,3.506,70.8,1.808,154.8,3.015,0.4,0.000,0.0,7.811,47.6,1.262,4,2.383,OK
HBM,64gray,3,0.301,0.329,9.587,0.301-0.304,0.328-0.331,9.515-9.611,1479,1254,1783,5.014,16.8,3.507,16.0,1.808,155.9,3.015,0.4,0.000,0.0,7.811,47.1,0.791,3,4.005,OK
HBM,16gray,4,0.304,0.331,0.460,0.301-0.304,0.328-0.331,0.458-0.463,388,658,1073,5.016,0.6,3.508,0.0,1.808,155.8,3.015,0.4,0.000,0.0,7.811,52.1,0.693,6,6.515,OK
HBM,0gray,6,0.000,0.000,0.000,0.000-0.000,0.000-0.000,0.000-0.000,0,109,272,5.016,0.6,3.508,0.0,1.808,155.8,3.015,0.4,0.000,0.0,7.811,52.1,0.693,0,6.515,OK
HBM,224gray,7,0.302,0.329,150.300,0.301-0.304,0.328-0.331,149.629-151.133,2727,2299,3214,5.014,225.5,3.502,224.2,1.808,156.2,3.015,0.4,0.000,0.0,7.811,49.8,2.588,3,2.966,OK
HBM,160gray,8,0.304,0.331,71.770,0.301-0.304,0.328-0.331,71.377-72.095,2269,1913,2631,5.015,113.0,3.504,111.9,1.808,156.9,3.015,0.4,0.000,0.0,7.811,47.6,1.615,13,6.433,OK
HBM,96gray,9,0.301,0.328,23.370,0.301-0.304,0.328-0.331,23.206-23.439,1796,1522,2121,5.015,39.5,3.507,38.5,1.808,156.6,3.015,0.4,0.000,0.0,7.811,47.4,0.988,3,2.233,OK
HBM,36gray,10,0.302,0.328,2.699,0.301-0.304,0.328-0.331,2.689-2.716,1407,1025,1509,5.015,4.9,3.508,4.1,1.808,155.6,3.015,0.4,0.000,0.0,7.811,46.9,0.688,8,8.038,OK
HBM,9gray,11,0.381,0.249,0.143,0.221-0.385,0.240-0.418,0.073-0.220,0,521,868,5.017,0.0,3.508,0.0,1.808,158.1,3.015,0.4,0.000,0.0,7.811,53.6,0.706,7,9.398,OK
HBM,1gray,12,0.000,0.000,0.000,0.000-0.000,0.000-0.000,0.000-0.000,84,333,486,5.016,0.0,3.508,0.0,1.808,158.0,3.015,0.4,0.000,0.0,7.811,53.6,0.706,0,9.398,OK


