CellID,20180806155841_NoCellID,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,8/6/2018 16:00,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,1,,,,,,,,,,,,,,,,,,,,,,,,,,
JUDGE,OK,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mode,Item,count,x,y,L,x_Spec,y_Spec,L_Spec,regR,regG,regB,VBAT1-V,VBAT1(mA)-I,ELVSS-V,ELVSS(mA)-I,VDD1-V,VDD1(mA)-I,VCI-V,VCI(mA)-I,VBAT2-V,VBAT2(mA)-I,VDD2-V,VDD2(mA)-I,ALL-POWER,TuningCount,TuingTime,OK/NG
HBM,255gray,0,0.302,0.33,199.865,0.302-0.304,0.328-0.330,199.400-200.600,2778,2156,3746,4.996,287.6,3.394,286.5,1.8,158.2,3.006,0.3,0,0,7.005,49.2,3.04,48,18.697,OK
HBM,200gray,1,0.301,0.329,117.754,0.301-0.304,0.328-0.331,116.612-117.784,2270,1748,2870,4.996,182.2,3.395,181.2,1.8,158.5,3.006,0.4,0,0,7.007,45.9,2.134,18,6.863,OK
HBM,128gray,2,0.303,0.329,44.059,0.301-0.304,0.328-0.331,43.691-44.130,1603,1188,2048,4.997,72.8,3.397,72.1,1.799,155.7,3.006,0.4,0,0,7.006,44.4,1.201,14,5.482,OK
HBM,64gray,3,0.302,0.328,9.541,0.301-0.304,0.328-0.331,9.515-9.611,898,600,1286,4.998,17.2,3.399,16.7,1.799,156.2,3.006,0.3,0,0,7.006,43.7,0.731,18,7.135,OK
HBM,0gray,6,0,0,0,0.000-0.000,0.000-0.000,0.000-0.000,0,109,272,4.998,17.2,3.399,16.7,1.799,156.2,3.006,0.3,0,0,7.006,43.7,0.731,0,7.135,OK
HBM,224gray,7,0.301,0.33,151.067,0.301-0.304,0.328-0.331,149.629-151.133,2502,1939,3114,4.996,227.5,3.395,226.5,1.8,158.5,3.006,0.4,0,0,7.005,47,2.521,26,9.603,OK
HBM,160gray,8,0.302,0.331,71.881,0.301-0.304,0.328-0.331,71.377-72.095,1892,1447,2377,4.996,114.4,3.396,113.7,1.8,157.4,3.006,0.4,0,0,7.006,45,1.557,13,5.037,OK
HBM,96gray,9,0.304,0.329,23.266,0.301-0.304,0.328-0.331,23.206-23.439,1317,939,1705,4.998,39.9,3.398,39.3,1.8,157.3,3.006,0.3,0,0,7.007,43.5,0.922,18,6.787,OK
HBM,36gray,12,0,0,0,0.000-0.000,0.000-0.000,0.000-0.000,84,333,486,4.997,39.9,3.399,39.3,1.799,157.3,3.006,0.3,0,0,7.006,43.5,0.922,0,6.787,OK
